"cell_ID","cluster_ID"
"BC01_04","5"
"BC01_05","5"
"BC01_06","5"
"BC01_08","5"
"BC01_10","5"
"BC01_12","5"
"BC01_33","5"
"BC01_34","5"
"BC01_53","5"
"BC01_55","5"
"BC01_57","5"
"BC01_66","5"
"BC01_69","5"
"BC01_70","5"
"BC01_72","5"
"BC01_77","5"
"BC01_87","5"
"BC01_95","5"
"BC02_02","2"
"BC02_08","2"
"BC02_09","2"
"BC02_10","2"
"BC02_11","2"
"BC02_12","2"
"BC02_13","2"
"BC02_14","2"
"BC02_15","2"
"BC02_18","2"
"BC02_19","2"
"BC02_24","2"
"BC02_25","2"
"BC02_26","2"
"BC02_28","2"
"BC02_31","2"
"BC02_34","2"
"BC02_44","2"
"BC02_50","2"
"BC02_51","2"
"BC02_53","2"
"BC02_54","2"
"BC02_55","2"
"BC02_58","2"
"BC02_59","2"
"BC02_62","2"
"BC02_63","2"
"BC02_64","2"
"BC02_66","2"
"BC02_67","2"
"BC02_68","2"
"BC02_70","2"
"BC02_71","2"
"BC02_73","2"
"BC02_74","2"
"BC02_75","2"
"BC02_76","2"
"BC02_79","2"
"BC02_81","2"
"BC02_82","2"
"BC02_83","2"
"BC02_86","2"
"BC02_88","2"
"BC02_89","2"
"BC02_90","2"
"BC02_93","2"
"BC02_94","2"
"BC02_95","2"
"BC02_96","2"
"BC03_09","6"
"BC03_11","6"
"BC03_13","6"
"BC03_16","6"
"BC03_17","6"
"BC03_19","6"
"BC03_20","6"
"BC03_21","6"
"BC03_23","6"
"BC03_26","6"
"BC03_29","6"
"BC03_35","6"
"BC03_37","6"
"BC03_41","6"
"BC03_43","6"
"BC04_01","3"
"BC04_02","3"
"BC04_07","3"
"BC04_08","1"
"BC04_09","3"
"BC04_11","3"
"BC04_13","3"
"BC04_14","3"
"BC04_16","3"
"BC04_20","3"
"BC04_21","3"
"BC04_22","3"
"BC04_23","3"
"BC04_24","3"
"BC04_27","3"
"BC04_28","3"
"BC04_29","3"
"BC04_30","3"
"BC04_31","3"
"BC04_32","3"
"BC04_33","3"
"BC04_36","3"
"BC04_37","3"
"BC04_40","3"
"BC04_41","3"
"BC04_45","3"
"BC04_49","3"
"BC04_54","3"
"BC04_56","3"
"BC04_59","3"
"BC04_60","3"
"BC04_61","3"
"BC04_62","3"
"BC04_63","3"
"BC04_64","3"
"BC04_66","3"
"BC04_69","3"
"BC04_71","3"
"BC04_77","3"
"BC04_78","3"
"BC04_85","3"
"BC04_86","3"
"BC04_88","3"
"BC04_90","3"
"BC04_91","3"
"BC04_92","3"
"BC04_93","3"
"BC05_01","0"
"BC05_02","0"
"BC05_04","0"
"BC05_07","0"
"BC05_08","0"
"BC05_09","0"
"BC05_12","0"
"BC05_13","0"
"BC05_16","0"
"BC05_17","0"
"BC05_18","0"
"BC05_20","0"
"BC05_21","0"
"BC05_22","0"
"BC05_23","0"
"BC05_25","0"
"BC05_26","0"
"BC05_27","0"
"BC05_28","0"
"BC05_29","0"
"BC05_30","0"
"BC05_31","0"
"BC05_32","0"
"BC05_33","0"
"BC05_34","0"
"BC05_35","0"
"BC05_36","0"
"BC05_37","0"
"BC05_38","0"
"BC05_39","0"
"BC05_41","0"
"BC05_42","0"
"BC05_43","0"
"BC05_44","0"
"BC05_45","0"
"BC05_46","0"
"BC05_47","0"
"BC05_48","0"
"BC05_49","0"
"BC05_50","0"
"BC05_52","0"
"BC05_53","0"
"BC05_55","0"
"BC05_57","0"
"BC05_59","0"
"BC05_60","0"
"BC05_61","0"
"BC05_62","0"
"BC05_63","0"
"BC05_64","0"
"BC05_68","0"
"BC05_69","0"
"BC05_70","0"
"BC05_71","0"
"BC05_72","0"
"BC05_73","0"
"BC05_75","0"
"BC05_77","0"
"BC05_78","0"
"BC05_79","0"
"BC05_80","0"
"BC05_81","0"
"BC05_83","0"
"BC05_84","0"
"BC05_85","0"
"BC05_86","0"
"BC05_87","0"
"BC05_88","0"
"BC05_90","0"
"BC05_91","0"
"BC05_92","0"
"BC05_93","0"
"BC05_94","0"
"BC05_95","0"
"BC05_96","0"
"BC06_10","1"
"BC06_23","1"
"BC06_27","1"
"BC06_28","1"
"BC06_32","1"
"BC06_39","1"
"BC06_43","2"
"BC06_60","1"
"BC06_74","1"
"BC07_01","4"
"BC07_06","4"
"BC07_07","1"
"BC07_08","4"
"BC07_12","4"
"BC07_18","4"
"BC07_20","4"
"BC07_23","2"
"BC07_24","4"
"BC07_27","4"
"BC07_31","4"
"BC07_35","4"
"BC07_36","4"
"BC07_38","4"
"BC07_39","4"
"BC07_42","1"
"BC07_43","4"
"BC07_44","4"
"BC07_52","1"
"BC07_55","1"
"BC07_57","4"
"BC07_58","4"
"BC07_59","4"
"BC07_61","4"
"BC07_65","4"
"BC07_66","4"
"BC07_67","4"
"BC07_73","4"
"BC07_75","4"
"BC07_78","4"
"BC07_87","4"
"BC07_89","4"
"BC07_95","1"
"BC08_01","1"
"BC08_04","1"
"BC08_06","1"
"BC08_08","1"
"BC08_22","1"
"BC08_24","1"
"BC08_27","1"
"BC08_31","1"
"BC08_33","1"
"BC08_36","1"
"BC08_48","1"
"BC08_51","1"
"BC08_54","1"
"BC08_56","1"
"BC08_59","1"
"BC08_70","1"
"BC08_73","1"
"BC08_88","1"
"BC08_94","1"
"BC08_95","1"
"BC09_13","1"
"BC09_44","1"
"BC09_50","1"
"BC09_70","1"
"BC09_Re_01","1"
"BC09_Re_05","1"
"BC09_Re_13","1"
"BC10_09","1"
"BC10_16","1"
"BC10_47","1"
"BC10_54","1"
"BC10_58","1"
"BC10_69","1"
"BC10_73","1"
"BC10_80","1"
"BC10_81","1"
"BC10_85","1"
"BC10_95","1"
"BC11_01","1"
"BC11_04","1"
"BC11_07","1"
"BC11_43","1"
"BC11_56","1"
"BC11_69","1"
"BC11_70","1"
"BC11_78","1"
"BC11_81","1"
"BC11_88","1"
