"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"DCD",2.84316075700199e-59,1.34417316048823,0.96,0.009,2.98475016270069e-55,"0"
"SLC30A8",2.52229211115575e-52,1.30290250465908,0.88,0.014,2.6479022582913e-48,"0"
"SULT1E1",3.50426673026607e-52,1.35015660101002,0.867,0.009,3.67877921343332e-48,"0"
"CDO1",1.18383632927265e-46,1.12558309756969,0.827,0.018,1.24279137847043e-42,"0"
"PNMT",3.84382645194258e-46,1.02150175204495,0.827,0.027,4.03524900924932e-42,"0"
"RNF135",8.00657220580891e-43,1.10142469507934,0.987,0.196,8.4052995016582e-39,"0"
"ITGB6",3.48171241047951e-42,1.03315644212167,1,0.233,3.65510168852139e-38,"0"
"TOP2A",3.83052320398888e-42,1.18810926747824,1,0.233,4.02128325954752e-38,"0"
"PPP1R14C",5.55017128403536e-37,1.03740998635699,1,0.237,5.82656981398032e-33,"0"
"PIP",2.90537802470347e-35,1.14408691515274,0.987,0.201,3.0500658503337e-31,"0"
"SFRP1",1.8124909606552e-36,0.934695091771744,0.661,0.017,1.90275301049583e-32,"1"
"PLXDC2",6.06475660032328e-34,0.917237172535479,0.597,0.009,6.36678147901938e-30,"1"
"COL6A1",6.77813815499299e-33,0.9844735202288,0.677,0.043,7.11568943511164e-29,"1"
"CHI3L1",3.43893755298301e-27,1.09249049787924,0.629,0.052,3.61019664312156e-23,"1"
"GPNMB",1.53728190091089e-26,1.09220231749808,0.79,0.168,1.61383853957625e-22,"1"
"GABRP",2.85241621494203e-26,1.20612725578646,0.677,0.099,2.99446654244614e-22,"1"
"EFNA5",1.86890854857781e-22,1.03140170170186,0.71,0.168,1.96198019429699e-18,"1"
"PAM",3.74646972228082e-20,0.987696331725127,0.758,0.228,3.93304391445041e-16,"1"
"CRYAB",1.38177852818055e-18,0.952183094446024,0.694,0.185,1.45059109888394e-14,"1"
"VIM",4.43464255395514e-18,0.946805544849276,0.742,0.254,4.6554877531421e-14,"1"
"SERPINA3",6.28596969879014e-35,1.34257546095759,0.98,0.214,6.59901098978988e-31,"2"
"AGR3",1.0012177205947e-34,1.41733607691315,0.941,0.202,1.05107836308031e-30,"2"
"ESR1",6.54956888327699e-33,1.27698635646984,0.922,0.218,6.87573741366419e-29,"2"
"C4B",5.06047093355811e-29,1.07865003134945,0.98,0.333,5.3124823860493e-25,"2"
"LOC110384692",6.3189306457011e-29,1.07692504134283,0.98,0.342,6.63361339185701e-25,"2"
"PVALB",1.98624783195844e-28,1.21474717384463,0.706,0.082,2.08516297398997e-24,"2"
"PI15",2.60160618021904e-26,1.2333463435502,0.745,0.123,2.73116616799395e-22,"2"
"IFITM1",3.92865533391038e-26,1.08067302707296,0.98,0.477,4.12430236953912e-22,"2"
"GSTM1",4.8337712875587e-22,1.12559980896049,0.608,0.086,5.07449309767912e-18,"2"
"CPB1",2.21543823907967e-16,1.05619051969125,0.745,0.226,2.32576706338584e-12,"2"
"EREG",1.15718064322319e-49,1.16045901555789,0.913,0.024,1.21480823925571e-45,"3"
"LOC102724852",2.63008600017665e-47,1.39121182049443,0.978,0.06,2.76106428298545e-43,"3"
"CEACAM5",1.50581383152248e-45,1.22744500615378,0.935,0.052,1.5808033603323e-41,"3"
"BPIFB2",1.53383268080358e-41,1.08611776473892,0.826,0.036,1.6102175483076e-37,"3"
"SPP1",2.51794604319073e-41,1.136133191311,0.957,0.093,2.64333975614162e-37,"3"
"CXCL1",1.37666731131224e-37,1.2918497640096,0.935,0.105,1.44522534341559e-33,"3"
"UBD",2.87505761461009e-37,1.09848628232709,0.891,0.065,3.01823548381768e-33,"3"
"NDST4",6.97323318600584e-37,1.03583465550024,0.717,0.028,7.32050019866894e-33,"3"
"CXCL8",3.90098297836932e-36,1.46355254280809,1,0.202,4.09525193069211e-32,"3"
"SEMA4B",1.01709502782309e-29,1.07629309814978,1,0.347,1.06774636020868e-25,"3"
"TSPAN8",2.00568456623941e-53,1.43881333271606,1,0.026,2.10556765763814e-49,"4"
"CLDN1",5.12472700419639e-42,1.08781588206714,0.778,0.015,5.37993840900537e-38,"4"
"ATP13A4",4.60507481618475e-40,0.91989860725052,0.852,0.03,4.83440754203075e-36,"4"
"LINC01133",1.05499325119826e-31,0.835454776825287,0.704,0.026,1.10753191510793e-27,"4"
"GLYATL2",1.29098819808639e-27,1.05453569382934,0.852,0.079,1.35527941035109e-23,"4"
"LRRC31",6.00426923805071e-27,0.807441856511344,0.667,0.037,6.30328184610564e-23,"4"
"FABP7",1.2066913214764e-26,0.84671590426277,0.778,0.056,1.26678454928593e-22,"4"
"HOXA10",1.5387618726906e-23,0.848550090992328,0.815,0.09,1.61539221395059e-19,"4"
"SDR16C5",1.52156401082026e-19,0.870606414744409,0.852,0.135,1.59733789855911e-15,"4"
"MUCL1",1.44426202573343e-13,0.823333099023606,1,0.356,1.51618627461495e-09,"4"
"AKR7A3",6.50953952996008e-24,0.851903255107321,0.944,0.098,6.8337145985521e-20,"5"
"LAMA3",7.33128791012714e-23,0.918758023381461,0.944,0.105,7.69638604805147e-19,"5"
"PRKACB",1.41689281754782e-21,1.16565857204238,1,0.178,1.4874540798617e-17,"5"
"GASK1B",2.69670375423196e-21,1.14856563487066,1,0.174,2.83099960119271e-17,"5"
"ANKRD30B",4.27689928670977e-19,1.02328045475768,1,0.188,4.48988887118791e-15,"5"
"GDF15",3.87582743453669e-17,0.95033184576672,0.944,0.159,4.06884364077662e-13,"5"
"LXN",6.81914879858329e-17,1.03176091696669,0.889,0.145,7.15874240875274e-13,"5"
"LGR4",4.30050715179066e-15,0.831736228401245,1,0.228,4.51467240794983e-11,"5"
"PSAT1",1.01594816692593e-13,0.834858301980593,0.889,0.17,1.06654238563884e-09,"5"
"SYBU",1.76946947814973e-13,0.820440838432004,1,0.221,1.85758905816159e-09,"5"
"DHRS2",1.28800502125664e-23,1.09988822486304,1,0.097,1.35214767131522e-19,"6"
"PHEX",1.62072174064627e-20,0.965697394273338,0.867,0.09,1.70143368333045e-16,"6"
"HSPA2",1.14743035609946e-19,0.851213790970549,0.8,0.072,1.20457238783322e-15,"6"
"ARL4D",1.36843051161187e-19,0.98163713876358,0.867,0.09,1.43657835109014e-15,"6"
"SLC16A4",9.99497280000832e-17,0.862010748683805,0.933,0.125,1.04927224454487e-12,"6"
"ANKRD30B",3.00891865562894e-14,0.911317907406403,1,0.197,3.15876280467927e-10,"6"
"LY6K",9.27137202641505e-13,0.906477654790937,1,0.258,9.73308635333052e-09,"6"
"ISOC1",4.88515697073401e-12,0.857201659225659,1,0.272,5.12843778787656e-08,"6"
"H2BC4",1.36615672109667e-10,0.876780171610103,1,0.312,1.43419132580729e-06,"6"
"HSPA6",2.02122284566555e-09,0.848771859564822,0.8,0.186,2.1218797433797e-05,"6"
